S_t,DCRatio,PCratio,ExPostReturns,RiskFreeRate,Prices,stdReturns
-3.2075595724338,0.0100924270254397,2.99972488816645,0.0573612658904115,0.00940000000000011,0.00858523805389428,0.0226512571865829
-3.12161707003174,0.00849768379305527,3.03625981464697,0.107196403460799,0.00940000000000008,0.0552300141351927,0.0245262625282279
-2.90748422840565,0.0328902855166602,3.13124056584404,0.167311248971623,0.00940000000000009,0.122821186164872,0.0197926410393343
-2.69764743710384,0.0255664914344993,3.23436481623823,0.176880224910518,0.00940000000000009,0.135071533397086,0.0173548957570497
-2.4328346994349,0.0330452442337559,3.38131674316653,0.228571947901899,0.00940000000000009,0.190607317465846,0.0126465717754948
-2.56423323871332,0.030571916004837,3.30619989674103,-0.0324017192854365,0.00940000000000009,-0.067913523680599,0.00700151835311842
-2.69236159204997,0.00963506214392229,3.23717325393781,-0.0217941184009104,0.00940000000000009,-0.0595934208303045,0.0114686110266698
-2.82103752988016,0.00727083771441173,3.17231317735379,-0.0154550100710168,0.00940000000000008,-0.056267632724993,0.0157485751080075
-2.6133797898742,0.0255382782836744,3.27913730482289,0.177672931791771,0.0094000000000001,0.139042300168956,0.0133592677913875
-2.69986334202019,0.0149100659563519,3.2331874773563,0.00492044263368122,0.00940000000000009,-0.0343573976257171,0.0138542288790211
-2.94022261751917,0.00393801569163754,3.11621394824865,-0.0717514216513682,0.00940000000000008,-0.115398338889212,0.0183553352933147
-2.59552341803627,0.0359697041560354,3.28887392410457,0.254554709402627,0.00940000000000009,0.216108047605445,0.0131677100502267
-2.61638604015097,0.0157697586055843,3.27754004525028,0.0450050445424937,0.00940000000000009,0.00582164513339278,0.0139317646254246
-2.45932691634476,0.043744325007522,3.36563386440947,0.158287892620078,0.00940000000000009,0.124080771314675,0.0051032013221365
-2.44010675311405,0.020571376636878,3.37690244587212,0.0732806335142024,0.00940000000000009,0.0387654913202446,0.00544766676577383
-2.65855262092598,0.00932149010484595,3.25513639665595,-0.0877030601478998,0.00940000000000009,-0.124580617919944,0.00941690433215928
-2.45024420128316,0.0157625630620402,3.37095738090474,0.194437709326556,0.00940000000000009,0.156546039903357,0.0122987253241698
-2.40108994089395,0.0429635743914587,3.40058651315474,0.0945789526725127,0.00940000000000009,0.0608937051360954,0.00329508061296204
-2.37928500305499,0.0452661562990784,3.41382259230848,0.102762032189413,0.00940000000000009,0.0697184259402932,0.00158651764972872
-2.40997866251453,0.0301991121708243,3.39519086269179,0.0337263606247796,0.0094000000000001,-0.000186218102038803,0.00370566471191586
-2.48389103057495,0.0174530139224731,3.35131323904754,0.00174838247922234,0.00940000000000009,-0.033022190611993,0.00556311015618274
-2.39139836966039,0.0334527103594269,3.40646951107562,0.134777284485999,0.00940000000000009,0.101123409897014,0.00351772847942405
-2.39279712756217,0.0443270558390303,3.40562043411693,0.0726761588532824,0.00940000000000009,0.0396665123351334,0.00137955897687661
-2.40686870170932,0.0298819310245042,3.39707867763017,0.0506582289494521,0.00940000000000009,0.0172524856770483,0.00244784021757006
